product_name,adet,,,,
(((FABR?KA S?PAR??)) ÇLK.KP LÜKS OTANT?KA ALÜMNYM GARDA ( 30*140*210 )R(SA?),1,,,,
(E 90) DUBLE YANGIN SA? 9010,1,,,,
(E 90) DUBLE YANGIN SA? 9010,1,,,Row Labels,Sum of adet
(E 90) DUBLE YANGIN SA? 9010,1,,,PKT ROYAL TUANA GEÇME 22L?K (212),6
(E 90) YANGIN DÜZ 9010 SOL,1,,,PKT ROYAL TUANA GEÇME 26LIK (212),3
(E 90) YANGIN DÜZ KREM SA?,1,,,(E 90) DUBLE YANGIN SA? 9010,3
(E 90) YANGIN DÜZ KREM SOL,1,,,PKT ROYAL TUANA GEÇME 35L?K (212),2
"(L) PROF?L 1X2,5 (BOY: 270CM)",1,,,PKT ROYAL TUANA GEÇME 30LUK (212),2
(L) PROF?L 1X2.0 (BOY: 270CM) DÜZ GÜMÜ?,1,,,TUANA KLAS?K A (MARS) MODERN CEV?Z SA? ÇEL?K KAPI (KLS 103),2
(L) PROF?L 2X2,1,,,PKT ROYAL TUANA GEÇME 22L?K (212) SATEN ANTRAS?T,2
"(L) PROF?L 2X2,5 (BOY: 270CM)",1,,,PKT ROYAL TUANA GEÇME 30LUK (212) TEAK,2
(L) PROF?L 3X3,1,,,PKT ROYAL TUANA GEÇME 22L?K (212) TEAK,2
(T) PROF?L - B?T?M ÇITASI,1,,,TUANA AK?K UV BEYAZ SOL KANCA+GEK ( UV 103),2
(U) PROF?L - B?T?M ÇITASI,1,,,TUANA S?LVER AK?K FUGALI ANTRES?T GR? SA? ÇEL?K KAPI,2
05 KUM VE YÜKLEME,1,,,MDF KNT 3320 MAT COCO-LAKE BEYAZ -MAT COCO75 LIK PETEK DOLGU ODA KILIT,2
10 LUK PERVAZ FARKI,1,,,PKT ROYAL TUANA GEÇME 26LIK (212) TEAK,2
10*210 MATKAP UCU MILWAUKEE SDS PLUS,1,,,YANGIN (E180) 9010 SA? 15L?K,2
100 MODEL 75 L?K KANAT CEV?Z,1,,,KAYNAK ALM GEÇME 45 L?K,2
