id,product_name,montaj_sabiti,created_date,active,marka_id,title,unit,birim_fiyat,urun_grubu_id,product_category_id,product_type
10,(((FABR?KA S?PAR??)) ÇLK.KP LÜKS OTANT?KA ALÜMNYM GARDA ( 30*140*210 )R(SA?),20,17/04/2021 18:40,1,5,(((FABR?KA S?PAR??)) ÇLK.KP LÜKS OTANT?KA ALÜMNYM GARDA ( 30*140*210 )R(SA?),AD,0,1,1,TCR
11,(E 90) DUBLE YANGIN SA? 9010,20,17/04/2021 18:40,1,5,(E 90) DUBLE YANGIN SA? 9010,AD,0,1,1,TCR
14,(E 90) YANGIN DÜZ 9010 SOL,20,17/04/2021 18:40,1,5,(E 90) YANGIN DÜZ 9010 SOL,AD,0,1,1,TCR
15,(E 90) YANGIN DÜZ KREM SA?,20,17/04/2021 18:40,1,5,(E 90) YANGIN DÜZ KREM SA?,AD,0,1,1,TCR
16,(E 90) YANGIN DÜZ KREM SOL,20,17/04/2021 18:40,1,5,(E 90) YANGIN DÜZ KREM SOL,AD,0,1,1,TCR
17,"(L) PROF?L 1X2,5 (BOY: 270CM)",20,17/04/2021 18:40,1,5,"(L) PROF?L 1X2,5 (BOY: 270CM)",AD,0,1,1,TCR
18,(L) PROF?L 1X2.0 (BOY: 270CM) DÜZ GÜMÜ?,20,17/04/2021 18:40,1,5,(L) PROF?L 1X2.0 (BOY: 270CM) DÜZ GÜMÜ?,AD,0,1,1,TCR
19,(L) PROF?L 2X2,20,17/04/2021 18:40,1,5,(L) PROF?L 2X2,AD,0,1,1,TCR
20,"(L) PROF?L 2X2,5 (BOY: 270CM)",20,17/04/2021 18:40,1,5,"(L) PROF?L 2X2,5 (BOY: 270CM)",AD,0,1,1,TCR
21,(L) PROF?L 3X3,20,17/04/2021 18:40,1,5,(L) PROF?L 3X3,AD,0,1,1,TCR
22,(T) PROF?L - B?T?M ÇITASI,20,17/04/2021 18:40,1,5,(T) PROF?L - B?T?M ÇITASI,AD,0,1,1,TCR
23,(U) PROF?L - B?T?M ÇITASI,20,17/04/2021 18:40,1,5,(U) PROF?L - B?T?M ÇITASI,AD,0,1,1,TCR
24,05 KUM VE YÜKLEME,20,17/04/2021 18:40,1,5,05 KUM VE YÜKLEME,TN,0,1,1,TCR
25,10 LUK PERVAZ FARKI,20,17/04/2021 18:40,1,5,10 LUK PERVAZ FARKI,AD,0,1,1,TCR
26,10*210 MATKAP UCU MILWAUKEE SDS PLUS,20,17/04/2021 18:40,1,5,10*210 MATKAP UCU MILWAUKEE SDS PLUS,AD,0,1,1,TCR
27,100 MODEL 75 L?K KANAT CEV?Z,20,17/04/2021 18:40,1,5,100 MODEL 75 L?K KANAT CEV?Z,AD,0,1,1,TCR
28,100 MODEL 80 L?K KANAT CEV?Z,20,17/04/2021 18:40,1,5,100 MODEL 80 L?K KANAT CEV?Z,AD,0,1,1,TCR
29,100 MODEL 85 L?K KANAT CEV?Z,20,17/04/2021 18:40,1,5,100 MODEL 85 L?K KANAT CEV?Z,AD,0,1,1,TCR
30,1003 CEV?Z SAÇ SA? ÇEL?K KAPI,20,17/04/2021 18:40,1,5,1003 CEV?Z SAÇ SA? ÇEL?K KAPI,AD,0,1,1,TCR
31,1003 CEV?Z SAÇ SOL ÇEL?K KAPI,20,17/04/2021 18:40,1,5,1003 CEV?Z SAÇ SOL ÇEL?K KAPI,AD,0,1,1,TCR
32,"1010 2,5 MM YAPISTIRMA 0,55 YÜZEY 17,78X121,92 EBAT",20,17/04/2021 18:40,1,5,"1010 2,5 MM YAPISTIRMA 0,55 YÜZEY 17,78X121,92 EBAT",M2,0,1,1,TCR
33,1024 ME?E SAÇ SA? ÇEL?K KAPI,20,17/04/2021 18:40,1,5,1024 ME?E SAÇ SA? ÇEL?K KAPI,AD,0,1,1,TCR
34,1024 ME?E SAÇ SOL ÇEL?K KAPI,20,17/04/2021 18:40,1,5,1024 ME?E SAÇ SOL ÇEL?K KAPI,AD,0,1,1,TCR
35,1027 DOKULU BEYAZ SA? AKTA?,20,17/04/2021 18:40,1,5,1027 DOKULU BEYAZ SA? AKTA?,AD,0,1,1,TCR
36,120 LIK CEV?Z KASA SOL,20,17/04/2021 18:40,1,5,120 LIK CEV?Z KASA SOL,AD,0,1,1,TCR
37,120 L?K KASA SOL CEV?Z,20,17/04/2021 18:40,1,5,120 L?K KASA SOL CEV?Z,AD,0,1,1,TCR
38,140 LIK AKÇA KASA SOL,20,17/04/2021 18:40,1,5,140 LIK AKÇA KASA SOL,AD,0,1,1,TCR
40,180 L?K KASA SA? CEV?Z,20,17/04/2021 18:40,1,5,180 L?K KASA SA? CEV?Z,AD,0,1,1,TCR
41,180 L?K KASA SOL CEV?Z,20,17/04/2021 18:40,1,5,180 L?K KASA SOL CEV?Z,AD,0,1,1,TCR
42,19 LUK TAPA BRONZ,20,17/04/2021 18:40,1,5,19 LUK TAPA BRONZ,AD,0,1,1,TCR
43,2 DO?AL GÜNE? ENERJ?S?,20,17/04/2021 18:40,1,5,2 DO?AL GÜNE? ENERJ?S?,AD,0,1,1,TCR
44,2 L? BASINÇLIGÜNE? ENERJ?S?,20,17/04/2021 18:40,1,5,2 L? BASINÇLIGÜNE? ENERJ?S?,AD,0,1,1,TCR
